Time,Bucket,Size (GB)
2025-09-29 15:15:10.968748,test02,0.244140625
2025-09-29 15:15:10.968748,test03,0.244140625
2025-09-29 15:15:10.968748,test04,0.048828125
2025-09-29 15:15:10.968748,test05,0.146484375
2025-09-29 15:15:10.968748,test06,0.0
2025-09-29 15:15:10.968748,test07,0.0
2025-09-29 15:15:40.955952,test01,0.244140625
2025-09-29 15:15:40.955952,test02,0.244140625
2025-09-29 15:15:40.955952,test03,0.244140625
2025-09-29 15:15:40.955952,test04,0.048828125
2025-09-29 15:15:40.955952,test05,0.146484375
2025-09-29 15:15:40.955952,test06,0.0
2025-09-29 15:15:40.955952,test07,0.0
2025-09-29 15:16:10.966893,test01,0.244140625
2025-09-29 15:16:10.966893,test02,0.244140625
2025-09-29 15:16:10.966893,test03,0.244140625
2025-09-29 15:16:10.966893,test04,0.048828125
2025-09-29 15:16:10.966893,test05,0.146484375
2025-09-29 15:16:10.966893,test06,0.0
2025-09-29 15:16:10.966893,test07,0.0
2025-09-29 15:16:40.954163,test01,0.244140625
2025-09-29 15:16:40.954163,test02,0.244140625
2025-09-29 15:16:40.954163,test03,0.244140625
2025-09-29 15:16:40.954163,test04,0.048828125
2025-09-29 15:16:40.954163,test05,0.146484375
2025-09-29 15:16:40.954163,test06,0.0
2025-09-29 15:16:40.954163,test07,0.0
2025-09-29 15:17:10.962201,test01,0.244140625
2025-09-29 15:17:10.962201,test02,0.244140625
2025-09-29 15:17:10.962201,test03,0.244140625
2025-09-29 15:17:10.962201,test04,0.048828125
2025-09-29 15:17:10.962201,test05,0.146484375
2025-09-29 15:17:10.962201,test06,0.0
2025-09-29 15:17:10.962201,test07,0.0
2025-09-29 15:17:40.971859,test01,0.244140625
2025-09-29 15:17:40.971859,test02,0.244140625
2025-09-29 15:17:40.971859,test03,0.244140625
2025-09-29 15:17:40.971859,test04,0.048828125
2025-09-29 15:17:40.971859,test05,0.146484375
2025-09-29 15:17:40.971859,test06,0.0
2025-09-29 15:17:40.971859,test07,0.0
2025-09-29 15:18:10.960547,test01,0.244140625
2025-09-29 15:18:10.960547,test02,0.244140625
2025-09-29 15:18:10.960547,test03,0.244140625
2025-09-29 15:18:10.960547,test04,0.048828125
2025-09-29 15:18:10.960547,test05,0.146484375
2025-09-29 15:18:10.960547,test06,0.0
2025-09-29 15:18:10.960547,test07,0.0
2025-09-29 15:18:40.965680,test01,0.244140625
2025-09-29 15:18:40.965680,test02,0.244140625
2025-09-29 15:18:40.965680,test03,0.244140625
2025-09-29 15:18:40.965680,test04,0.048828125
2025-09-29 15:18:40.965680,test05,0.146484375
2025-09-29 15:18:40.965680,test06,0.0
2025-09-29 15:18:40.965680,test07,0.0
2025-09-29 15:19:10.979413,test01,0.244140625
2025-09-29 15:19:10.979413,test02,0.244140625
2025-09-29 15:19:10.979413,test03,0.244140625
2025-09-29 15:19:10.979413,test04,0.048828125
2025-09-29 15:19:10.979413,test05,0.146484375
2025-09-29 15:19:10.979413,test06,0.0
2025-09-29 15:19:10.979413,test07,0.0
2025-09-29 15:19:40.955015,test01,0.244140625
